MolClin	RefNo	InvNo	OrderNo	Prefix	Gene	Suffix
C	9491	1	5		SS18	+
C	9491	1	6		SSX2	+
C	9576	1	1		PAX3/FOXO1	
C	9576	1	2		PAX3	+
C	9576	1	3		FOXO1	+
C	9576	1	4		PAX7/FOXO1	
C	9576	1	5		PAX7	+
C	9576	1	6		FOXO1	+
C	9602	1	1		BIRC3/MALT1	
C	9602	1	2		BIRC3	+
C	9602	1	3		MALT1	+
C	9621	1	1		IGH/CCND1	
C	9621	1	2		IGH	+
C	9621	1	3		CCND1	+
C	9627	1	1		IGH/BCL2	
C	9627	1	2		IGH	+
C	9627	1	3		BCL2	+
C	9646	1	1		BIRC3/MALT1	
C	9646	1	2		BIRC3	+
C	9646	1	3		MALT1	+
C	9660	1	1		BCL6	+
C	9755	1	1		EWSR1/FLI1	
C	9755	1	2		EWSR1	+
C	9755	1	3		FLI1	+
C	9774	1	1		IGH/CCND1	
C	9774	1	2		IGH	+
C	9774	1	3		CCND1	+
C	9774	1	4		IGH/FGFR3	
C	9774	1	5		IGH	+
C	9774	1	6		FGFR3	+
C	9774	1	7		IGH/MAF	
C	9774	1	8		IGH	+
C	9774	1	9		MAF	+
C	9775	1	1		IGH/CCND1	
C	9775	1	2		IGH	+
C	9775	1	3		CCND1	+
C	9775	1	4		IGH/FGFR3	
C	9775	1	5		IGH	+
C	9775	1	6		FGFR3	+
C	9785	1	1		PML/RARA	
C	9785	1	2		PML	+
C	9785	1	3		RARA	+
C	9786	1	1		PML/RARA	
C	9786	1	2		PML	+
C	9786	1	3		RARA	+
C	9794	1	1		KMT2A	+
C	9804	1	1		BCL2	+
C	9805	1	1		KMT2A	+
C	9811	1	1		ETV6/RUNX1	
C	9811	1	2		ETV6	+
C	9811	1	3		RUNX1	+
C	9825	1	1		RUNX1/RUNX1T1	
C	9825	1	2		RUNX1	+
C	9825	1	3		RUNX1T1	+
C	9859	1	1		RUNX1/RUNX1T1	
C	9859	1	2		RUNX1	+
C	9859	1	3		RUNX1T1	+
C	9859	2	1		RUNX1/RUNX1T1	
C	9859	2	2		RUNX1	+
C	9859	2	3		RUNX1T1	+
C	9861	1	1		BCR/ABL1	
C	9861	1	2		BCR	+
C	9861	1	3		ABL1	+
C	9866	1	1		BCL6	+
C	9874	1	1		KMT2A	+
C	9881	1	1		BCL10	+
C	9897	1	1		SS18/SSX1	
C	9897	1	2		SS18	+
C	9897	1	3		SSX1	+
C	9897	1	4		SS18/SSX2	
C	9897	1	5		SS18	+
C	9897	1	6		SSX2	+
C	9901	1	1		PML/RARA	
C	9901	1	2		PML	+
C	9901	1	3		RARA	+
